Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms,DiscreteAutocorrelationAtLagJ,autocorrelate,12,3,2,8,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms,LinearPredictiveCoding,LinearPredictiveCoding,8,1,2,13,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms,LinearPredictiveCoding,applyLinearPredictiveCoding,38,9,1,22,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HammingWindowFunction,HammingWindowFunction,3,1,1,12,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HammingWindowFunction,getPrecomputedFactors,17,3,1,16,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HannWindowFunction,HannWindowFunction,3,1,1,13,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HannWindowFunction,getPrecomputedFactors,17,3,1,17,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,WindowFunction,WindowFunction,4,1,1,11,0,com.TeamEnigma.cognito.algorithms.windowing.WindowFunction,com.TeamEnigma.cognito.algorithms.windowing.WindowFunction
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,WindowFunction,applyFunction,10,3,1,16,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,WindowFunction,getPrecomputedFactors,0,1,1,26,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CheckAttendance,checkAttendance,29,4,2,11,0,com.TeamEnigma.cognito.CheckAttendance,com.TeamEnigma.cognito.CheckAttendance
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CheckAttendance,modifyAttendance,29,2,3,42,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CheckAttendance,main,2,1,1,88,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CreatingAttendanceSheets,month,21,3,3,16,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CreatingAttendanceSheets,attSheet,36,14,1,43,0,com.TeamEnigma.cognito.CreatingAttendanceSheets,com.TeamEnigma.cognito.CreatingAttendanceSheets
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CreatingAttendanceSheets,main,5,1,1,97,0,com.TeamEnigma.cognito.CreatingAttendanceSheets,com.TeamEnigma.cognito.CreatingAttendanceSheets
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,creatingIDPass,idPass,24,3,2,7,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,creatingIDPass,idPassModify,32,2,3,38,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,creatingIDPass,main,7,1,1,91,0,com.TeamEnigma.cognito.creatingIDPass,com.TeamEnigma.cognito.creatingIDPass
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,DisplayAttendance,attendanceSheet,12,2,2,12,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,DisplayAttendance,main,3,1,1,33,0,com.TeamEnigma.cognito.DisplayAttendance,com.TeamEnigma.cognito.DisplayAttendance
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdCheck,checkOldIdPass,17,3,2,25,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdPassReader,idPassChecker,16,3,2,10,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdPassReader,main,5,1,1,27,0,com.TeamEnigma.cognito.IdPassReader,com.TeamEnigma.cognito.IdPassReader
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdPassWritter,idPassword,16,1,2,8,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdPassWritter,main,3,1,1,27,0,com.TeamEnigma.cognito.IdPassWritter,com.TeamEnigma.cognito.IdPassWritter
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,MatchResult,MatchResult,6,1,3,12,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,MatchResult,getKey,3,1,0,20,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,MatchResult,getLikelihoodRatio,3,1,0,25,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,MatchResult,getDistance,3,1,0,29,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,ModifyPassWord,modifyPassWord,29,2,2,6,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,ModifyPassWord,main,2,1,1,39,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,Recognito,6,2,1,42,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,Recognito,12,3,2,50,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,getUniversalModel,3,1,0,64,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,setUniversalModel,7,2,1,69,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,createVoicePrint,22,5,2,78,0,com.TeamEnigma.cognito.Recognito,com.TeamEnigma.cognito.Recognito
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,createVoicePrint,5,1,2,104,0,com.TeamEnigma.cognito.Recognito,com.TeamEnigma.cognito.Recognito
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,convertFileToDoubleArray,9,2,1,113,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,mergeVoiceSample,17,4,2,127,0,com.TeamEnigma.cognito.Recognito,com.TeamEnigma.cognito.Recognito
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,mergeVoiceSample,4,1,2,150,0,com.TeamEnigma.cognito.Recognito,com.TeamEnigma.cognito.Recognito
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,identify,21,3,1,158,0,com.TeamEnigma.cognito.Recognito,com.TeamEnigma.cognito.Recognito
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,compare,3,1,2,179,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,identify,4,1,1,189,0,com.TeamEnigma.cognito.Recognito,com.TeamEnigma.cognito.Recognito
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,extractFeatures,9,1,2,198,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Record,Record,33,1,0,9,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Record,run,10,1,0,19,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Record,getVoice,3,1,0,43,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Tester,Tester,63,9,0,10,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Tester,getFeq,3,1,0,72,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Tester,getResult,3,1,0,75,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,VoicePrint,5,1,1,18,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,VoicePrint,3,1,1,23,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,getDistance,9,1,2,26,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,merge,13,2,1,34,0,com.TeamEnigma.cognito.VoicePrint,com.TeamEnigma.cognito.VoicePrint
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,merge,3,1,1,46,0,com.TeamEnigma.cognito.VoicePrint,com.TeamEnigma.cognito.VoicePrint
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,merge,5,2,2,50,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,toString,3,1,0,56,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,ChebyshevDistanceCalculator,getDistance,14,4,2,9,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,DistanceCalculator,getDistance,0,1,2,7,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,DistanceCalculator,positiveInfinityIfEitherOrBothAreNull,8,2,2,9,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,EuclideanDistanceCalculator,getDistance,14,4,2,7,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.enhancements,Normalizer,normalize,19,6,2,7,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,FeaturesExtractor,extractFeatures,0,1,1,6,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,LpcFeaturesExtractor,LpcFeaturesExtractor,6,1,2,15,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,LpcFeaturesExtractor,extractFeatures,21,5,1,22,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,WindowedFeaturesExtractor,WindowedFeaturesExtractor,7,2,1,15,0,com.TeamEnigma.cognito.features.WindowedFeaturesExtractor,com.TeamEnigma.cognito.features.WindowedFeaturesExtractor
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,WindowedFeaturesExtractor,extractFeatures,0,1,1,24,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,WindowedFeaturesExtractor,getWindowSize,3,1,1,27,0,com.TeamEnigma.cognito.features.WindowedFeaturesExtractor,com.TeamEnigma.cognito.features.WindowedFeaturesExtractor
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,WindowedFeaturesExtractor,getClosestPowerOfTwoWindowSize,19,4,2,32,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.utils,FileHelper,readAudioInputStream,30,5,1,14,0,com.TeamEnigma.cognito.utils.FileHelper,com.TeamEnigma.cognito.utils.FileHelper
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.utils,FileHelper,byteArrayToShort,12,2,3,51,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.vad,AutocorrellatedVoiceActivityDetector,getAutocorrellationThreshold,3,1,0,20,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.vad,AutocorrellatedVoiceActivityDetector,setAutocorrellationThreshold,3,1,1,25,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.vad,AutocorrellatedVoiceActivityDetector,removeSilence,43,7,2,31,0,com.TeamEnigma.cognito.vad.AutocorrellatedVoiceActivityDetector,com.TeamEnigma.cognito.vad.AutocorrellatedVoiceActivityDetector
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.vad,AutocorrellatedVoiceActivityDetector,getMinimumVoiceActivityLength,3,1,1,90,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.vad,AutocorrellatedVoiceActivityDetector,applyFadeInFadeOut,7,2,4,95,0,,
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.vad,AutocorrellatedVoiceActivityDetector,mergeSmallActiveAreas,20,5,2,104,0,,
